10,23
20,37
30,46
40,39
50,60
60,55
70,79
80,45
90,54
100,130
110,92
120,28
130,23
140,30
150,30
160,35
170,43
180,36
190,41
200,39
210,93
220,50
230,31
240,39
250,164
260,41
270,46
280,49
290,246
300,54
310,44
320,53
330,139
340,97
350,96
360,53
370,129
380,59
390,60
400,58
410,88
420,123
430,88
440,96
450,85
460,134
470,244
480,105
490,134
500,146
510,96
520,82
530,70
540,103
550,75
560,75
570,214
580,88
590,100
600,89
610,108
620,114
630,99
640,139
650,115
660,183
670,124
680,114
690,147
700,110
710,161
720,126
730,138
740,179
750,151
760,142
770,141
780,139
790,137
800,210
810,180
820,149
830,155
840,122
850,185
860,135
870,341
880,146
890,201
900,229
910,134
920,160
930,170
940,162
950,140
960,206
970,197
980,175
990,222
